genre,gross,rate,runtime,title,vote,yr
"Drama, Sci-Fi, Thriller",$1.48M,8.1,113 min,Donnie Darko,675782,2001
Drama,$27.85M,7.4,111 min,Moonlight,204964,2016
"Adventure, Family, Fantasy",$301.96M,7.6,153 min,Harry Potter and the Half-Blood Prince,392300,2009
"Comedy, Musical",$139.88M,7.4,100 min,The Rocky Horror Picture Show,117936,1975
Drama,$16.38M,7.1,138 min,The Master,125182,2012
"Animation, Adventure, Comedy",$189.42M,7.7,101 min,Wreck-It Ralph,317861,2012
"Biography, Drama, Sport",$255.96M,7.7,129 min,The Blind Side,256998,2009
Western,$6.10M,8.9,178 min,"The Good, the Bad and the Ugly",593053,1966
"Drama, Mystery, Thriller",$293.51M,8.1,107 min,The Sixth Sense,814261,1999
"Animation, Adventure, Family",$10.06M,8.6,125 min,Spirited Away,525392,2001
Drama,$40.22M,8.1,158 min,There Will Be Blood,444952,2007
"Adventure, Family, Fantasy",$303.00M,7.9,169 min,The Hobbit: An Unexpected Journey,702434,2012
"Action, Comedy, Fantasy",$238.63M,7.8,105 min,Ghostbusters,311772,1984
"Crime, Drama, Thriller",$2.83M,8.3,99 min,Reservoir Dogs,787807,1992
"Comedy, Drama, History",$8.04M,7.2,107 min,The Death of Stalin,47434,2017
"Mystery, Thriller",$25.54M,8.5,113 min,Memento,992478,2000
"Comedy, Drama",$5.88M,7.9,118 min,Captain Fantastic,146476,2016
"Comedy, Drama, Fantasy",$15.32M,7.8,123 min,About Time,247316,2013
"Action, Adventure, Thriller",$209.40M,7.4,132 min,Mission: Impossible - Ghost Protocol,412788,2011
"Action, Adventure",$248.16M,8.5,115 min,Raiders of the Lost Ark,774987,1981
"Biography, Crime, Drama",$164.62M,8.1,141 min,Catch Me If You Can,676473,2002
"Horror, Mystery",$103.05M,7.2,111 min,Scream,251224,1996
"Biography, Comedy, Drama",$70.26M,7.8,130 min,The Big Short,288513,2015
"Adventure, Drama",$52.29M,8.1,89 min,Stand by Me,322014,1986
"Action, Thriller",$83.01M,8.2,132 min,Die Hard,690763,1988
"Action, Adventure, Sci-Fi",$257.73M,8.0,127 min,Star Trek,547613,2009
"Animation, Drama, Fantasy",$5.02M,8.4,106 min,Your Name.,108852,2016
Horror,$25.50M,7.5,91 min,A Nightmare on Elm Street,176097,1984
"Drama, Romance",$17.74M,8.0,102 min,The Perks of Being a Wallflower,409346,2012
"Adventure, Drama, Family",$364.00M,7.4,106 min,The Jungle Book,230257,2016
"Drama, Mystery, Romance",$50.93M,7.8,123 min,Atonement,220365,2007
"Adventure, Comedy, Horror",$75.59M,7.7,88 min,Zombieland,441084,2009
"Crime, Drama",$35.06M,7.8,100 min,Drive,502403,2011
"Drama, Fantasy, War",$37.63M,8.2,118 min,Pan's Labyrinth,550664,2006
"Adventure, Drama, Thriller",$260.00M,8.0,124 min,Jaws,490685,1975
"Comedy, Music, Romance",$65.00M,7.2,112 min,Pitch Perfect,246516,2012
Horror,$82.52M,7.5,128 min,Dracula,165837,1992
"Crime, Drama",$6.72M,8.5,119 min,American History X,913319,1998
"Action, Adventure, Family",$241.41M,7.0,97 min,Maleficent,292420,2014
"Action, Biography, Drama",$12.39M,8.5,161 min,Dangal,105423,2016
"Comedy, Drama",$42.34M,7.7,119 min,Birdman or (The Unexpected Virtue of Ignorance),492807,2014
"Drama, Romance",$2.20M,7.8,180 min,Blue Is the Warmest Color,117997,2013
"Action, Adventure, Sci-Fi",$228.78M,7.7,132 min,Star Trek: Into Darkness,437448,2013
"Adventure, Mystery, Sci-Fi",$126.48M,7.0,124 min,Prometheus,525137,2012
"Adventure, Drama, History",$173.84M,7.6,140 min,Apollo 13,236760,1995
"Action, Horror, Thriller",$2.13M,7.5,118 min,Busanhaeng,95821,2016
"Comedy, Crime",$150.39M,7.0,110 min,We're the Millers,359783,2013
"Horror, Mystery, Sci-Fi",$13.78M,8.1,109 min,The Thing,315285,1982
"Animation, Adventure, Comedy",$293.00M,8.3,96 min,Up,804509,2009
"Adventure, Family, Fantasy",$22.20M,8.0,102 min,The Wizard of Oz,339340,1939
"Action, Comedy, Crime",$36.26M,7.4,116 min,The Nice Guys,223861,2016
"Drama, Musical, Romance",$51.27M,7.3,143 min,The Phantom of the Opera,106969,2004
"Comedy, Crime",$30.33M,8.3,102 min,Snatch,693504,2000
"Action, Adventure, Sci-Fi",$312.43M,7.0,124 min,Iron Man 2,615740,2010
Horror,None,7.5,92 min,Suspiria,58964,1977
"Family, Sci-Fi",$435.11M,7.9,115 min,E.T. the Extra-Terrestrial,323847,1982
"Adventure, Drama, Fantasy",$342.55M,8.7,179 min,The Lord of the Rings: The Two Towers,1288020,2002
"Adventure, Comedy, Drama",$45.51M,7.8,94 min,Moonrise Kingdom,280783,2012
"Action, Crime, Thriller",$80.07M,7.0,130 min,Jack Reacher,273797,2012
"Crime, Drama",$7.56M,8.6,130 min,City of God,618836,2002
"Comedy, Romance",$178.41M,7.0,119 min,Pretty Woman,248134,1990
Horror,$232.91M,8.0,122 min,The Exorcist,319064,1973
"Crime, Thriller",$74.10M,8.0,124 min,Sin City,704716,2005
"Action, Comedy",$23.64M,7.9,121 min,Hot Fuzz,409176,2007
Comedy,$1.11M,7.3,103 min,Heathers,73897,1988
"Animation, Comedy, Family",$244.08M,7.1,117 min,Cars,310944,2006
"Action, Drama, Fantasy",$75.98M,7.0,132 min,Constantine,267626,2005
"Action, Adventure, Comedy",$45.45M,7.3,116 min,The Man from U.N.C.L.E.,230482,2015
"Action, Drama, Family",$90.82M,7.2,126 min,The Karate Kid,152643,1984
Drama,$24.80M,7.6,101 min,Gifted,73772,2017
"Action, Drama, Mystery",$0.71M,8.4,120 min,Oldeuboi,436386,2003
