genre,gross,rate,runtime,title,vote,yr,titleClean,cleanTitleSpot
"Mystery, Thriller",None,8.0,138 min,Sleuth,40849,1972,Sleuth,Sleuth
"Adventure, Biography, Drama",$16.76M,7.8,126 min,The Motorcycle Diaries,89944,2004,The Motorcycle Diaries,The Motorcycle Diaries
"Crime, Thriller",$0.00M,7.4,110 min,Pusher,30264,1996,Pusher,Pusher
"Action, Adventure, Drama",$28.90M,7.6,158 min,The Guns of Navarone,40650,1961,The Guns of Navarone,The Guns of Navarone
"Comedy, Drama",$43.02M,7.1,97 min,Wag the Dog,73033,1997,Wag the Dog,Wag the Dog
Thriller,None,7.9,108 min,Shadow of a Doubt,52104,1943,Shadow of a Doubt,Shadow of a Doubt
"Comedy, Drama",$1.36M,7.3,120 min,Turist,39533,2014,Turist,Turist
"Comedy, Drama, Fantasy",$60.33M,7.0,101 min,Scrooged,73067,1988,Scrooged,Scrooged
"Biography, Drama, History",$1.73M,7.2,134 min,Che: Part One,41399,2008,Che: Part One,Che Part One
"Action, Crime, Drama",None,7.8,93 min,Scarface,22183,1932,Scarface,Scarface
"Comedy, Drama",$9.60M,8.2,129 min,Mr. Smith Goes to Washington,94198,1939,Mr. Smith Goes to Washington,Mr Smith Goes to Washington
"Drama, Mystery",$13.27M,7.5,135 min,Lone Star,25468,1996,Lone Star,Lone Star
"Comedy, Drama, Music",$11.54M,7.2,102 min,Pump Up the Volume,23661,1990,Pump Up the Volume,Pump Up the Volume
"Drama, War",$1.83M,7.5,127 min,The Wind that Shakes the Barley,41311,2006,The Wind that Shakes the Barley,The Wind that Shakes the Barley
"Adventure, History",$1.52M,7.2,118 min,Kon-Tiki,40276,2012,Kon-Tiki,KonTiki
"Comedy, Drama, Romance",$0.17M,7.6,89 min,Show Me Love,46118,1998,Show Me Love,Show Me Love
"Biography, Drama, Romance",$18.67M,7.1,120 min,Becoming Jane,52704,2007,Becoming Jane,Becoming Jane
Drama,$37.77M,7.3,114 min,The Secret Life of Bees,22041,2008,The Secret Life of Bees,The Secret Life of Bees
"Horror, Sci-Fi",None,7.7,71 min,The Invisible Man,24799,1933,The Invisible Man,The Invisible Man
Drama,None,8.4,108 min,Babam ve Oglum,60985,2005,Babam ve Oglum,Babam ve Oglum
"Drama, Fantasy",None,7.1,115 min,Holy Motors,35411,2012,Holy Motors,Holy Motors
"Action, Sci-Fi, Thriller",$4.36M,7.2,85 min,The War of the Worlds,28575,1953,The War of the Worlds,The War of the Worlds
"Comedy, Drama",$1.54M,7.8,107 min,Withnail &amp; I,35118,1987,Withnail and I,Withnail and I
"Drama, Mystery, Sci-Fi",$83.90M,7.0,121 min,The X Files,93644,1998,The X Files,The X Files
"Crime, Mystery, Thriller",None,7.3,105 min,La isla mínima,24424,2014,La isla mínima,La isla minima
"Drama, Thriller",$17.87M,7.0,126 min,The Contender,21654,2000,The Contender,The Contender
Comedy,$44.53M,7.7,105 min,The Odd Couple,28229,1968,The Odd Couple,The Odd Couple
"Crime, Drama, Thriller",None,8.3,128 min,The Bandit,52064,1996,The Bandit,The Bandit
"Drama, Thriller",$51.72M,7.4,122 min,The China Syndrome,23290,1979,The China Syndrome,The China Syndrome
"Fantasy, Sci-Fi",$1.51M,7.6,112 min,The City of Lost Children,60389,1995,The City of Lost Children,The City of Lost Children
"Drama, Romance, War",$23.65M,8.1,170 min,The Best Years of Our Lives,51206,1946,The Best Years of Our Lives,The Best Years of Our Lives
"Action, Crime, Drama",$24.52M,7.0,103 min,Unleashed,92202,2005,Unleashed,Unleashed
Comedy,None,7.6,99 min,The Party,33726,1968,The Party,The Party
"Drama, Romance, War",$0.07M,7.1,113 min,The Messenger,31847,2009,The Messenger,The Messenger
"Adventure, Drama",$8.86M,7.1,99 min,Everybody's Fine,54929,2009,Everybody's Fine,Everybodys Fine
"Biography, Drama, Romance",$4.44M,7.0,119 min,Bright Star,23460,2009,Bright Star,Bright Star
"Crime, Drama",$0.14M,7.8,157 min,Bir Zamanlar Anadolu'da,32466,2011,Bir Zamanlar Anadolu'da,Bir Zamanlar Anadoluda
"Comedy, Musical",$14.93M,7.6,107 min,The Meaning of Life,100003,1983,The Meaning of Life,The Meaning of Life
"Drama, Romance",$4.25M,7.1,91 min,45 Years,26595,2015,45 Years,45 Years
"Action, Drama, Fantasy",$6.74M,8.2,159 min,Bahubali: The Beginning,88636,2015,Bahubali: The Beginning,Bahubali The Beginning
"Biography, Drama, History",$31.50M,7.5,93 min,"Good Night, and Good Luck.",88828,2005,"Good Night, and Good Luck.",Good Night and Good Luck
"Drama, Romance",$8.59M,7.0,108 min,An Unfinished Life,26549,2005,An Unfinished Life,An Unfinished Life
"Crime, Drama",$13.01M,7.6,126 min,House of Sand and Fog,60698,2003,House of Sand and Fog,House of Sand and Fog
"Comedy, Drama",$40.08M,7.9,107 min,Hannah and Her Sisters,59933,1986,Hannah and Her Sisters,Hannah and Her Sisters
"Biography, Drama, History",$0.02M,8.2,114 min,The Passion of Joan of Arc,38151,1928,The Passion of Joan of Arc,The Passion of Joan of Arc
Drama,$2.23M,7.0,91 min,Rabbit Hole,44472,2010,Rabbit Hole,Rabbit Hole
"Biography, Drama, Sport",$50.67M,7.6,146 min,The Hurricane,84178,1999,The Hurricane,The Hurricane
Western,None,7.0,114 min,Hang 'Em High,30079,1968,Hang 'Em High,Hang Em High
"Drama, Mystery",$1.33M,7.8,130 min,Le passé,39557,2013,Le passé,Le passe
"Biography, Drama, Sport",$5.13M,7.8,127 min,The World's Fastest Indian,47965,2005,The World's Fastest Indian,The Worlds Fastest Indian
"Biography, Comedy, Drama",$6.00M,7.2,95 min,The Sessions,39190,2012,The Sessions,The Sessions
"Comedy, Drama, War",None,8.1,167 min,Underground,49571,1995,Underground,Underground
Drama,$1.65M,8.1,105 min,The Celebration,71753,1998,The Celebration,The Celebration
"Drama, Thriller",$19.00M,7.0,125 min,The Boys from Brazil,22868,1978,The Boys from Brazil,The Boys from Brazil
"Comedy, Drama",$7.36M,7.4,81 min,The Squid and the Whale,67826,2005,The Squid and the Whale,The Squid and the Whale
"Adventure, Comedy, Drama",$31.56M,7.6,139 min,Little Big Man,29672,1970,Little Big Man,Little Big Man
"Animation, Comedy, Family",$59.00M,7.6,74 min,The Many Adventures of Winnie the Pooh,28437,1977,The Many Adventures of Winnie the Pooh,The Many Adventures of Winnie the Pooh
"Drama, Music, Romance",$0.26M,8.1,165 min,La leggenda del pianista sull'oceano,49717,1998,La leggenda del pianista sull'oceano,La leggenda del pianista sulloceano
"Drama, History, Romance",$4.60M,7.6,157 min,"Lust, Caution",33724,2007,"Lust, Caution",Lust Caution
"Adventure, Drama",None,8.1,158 min,Fitzcarraldo,26313,1982,Fitzcarraldo,Fitzcarraldo
Drama,None,7.5,98 min,Five Easy Pieces,29162,1970,Five Easy Pieces,Five Easy Pieces
"Drama, Romance, Sci-Fi",$0.26M,7.5,129 min,2046,45771,2004,2046,2046
"Action, Adventure, Biography",$5.70M,7.3,126 min,Mongol: The Rise of Genghis Khan,41211,2007,Mongol: The Rise of Genghis Khan,Mongol The Rise of Genghis Khan
"Comedy, Music",$0.10M,7.1,99 min,Human Traffic,21155,1999,Human Traffic,Human Traffic
"Animation, Drama, Family",None,8.2,117 min,Ookami kodomo no Ame to Yuki,28610,2012,Ookami kodomo no Ame to Yuki,Ookami kodomo no Ame to Yuki
"Comedy, Musical, Romance",$30.00M,7.6,120 min,White Christmas,25918,1954,White Christmas,White Christmas
"Drama, Romance",$3.77M,7.1,131 min,The Merchant of Venice,32320,2004,The Merchant of Venice,The Merchant of Venice
"Biography, Comedy, Drama",$0.04M,7.4,103 min,A Street Cat Named Bob,21011,2016,A Street Cat Named Bob,A Street Cat Named Bob
"Biography, Drama, History",$18.59M,7.7,122 min,Frost/Nixon,95422,2008,Frost/Nixon,FrostNixon
"Comedy, Drama, Romance",$0.55M,7.7,93 min,Love Me If You Dare,62083,2003,Love Me If You Dare,Love Me If You Dare
Drama,None,8.1,113 min,The Conformist,21819,1970,The Conformist,The Conformist
Drama,$7.84M,7.5,112 min,The Ice Storm,49891,1997,The Ice Storm,The Ice Storm
Drama,$0.02M,7.6,92 min,Tyrannosaur,27411,2011,Tyrannosaur,Tyrannosaur
"Comedy, Drama",$44.47M,7.6,122 min,Instructions Not Included,25957,2013,Instructions Not Included,Instructions Not Included
Drama,$15.85M,7.4,107 min,Far from Heaven,40117,2002,Far from Heaven,Far from Heaven
"Drama, War",$0.08M,7.5,134 min,Stalingrad,27011,1993,Stalingrad,Stalingrad
"Drama, Music",$82.57M,7.3,143 min,Mr. Holland's Opus,32651,1995,Mr. Holland's Opus,Mr Hollands Opus
"Crime, Thriller",$2.55M,7.0,103 min,King of New York,26743,1990,King of New York,King of New York
"Animation, Adventure, Drama",$6.46M,7.5,92 min,The Last Unicorn,21554,1982,The Last Unicorn,The Last Unicorn
"Drama, Romance",$0.14M,7.2,111 min,A Brilliant Young Mind,24360,2014,A Brilliant Young Mind,A Brilliant Young Mind
"Drama, Musical, Romance",$4.50M,7.2,114 min,An American in Paris,26256,1951,An American in Paris,An American in Paris
"Mystery, Thriller",None,7.8,86 min,The 39 Steps,45183,1935,The 39 Steps,The 39 Steps
"Comedy, Drama",$6.16M,7.0,97 min,UHF,23216,1989,UHF,UHF
"Drama, Film-Noir, Romance",None,7.7,110 min,Gilda,23735,1946,Gilda,Gilda
"Animation, Adventure, Comedy",None,7.8,98 min,Toki o kakeru shôjo,48818,2006,Toki o kakeru shôjo,Toki o kakeru shojo
"Biography, Crime, Drama",$0.23M,7.2,94 min,Chopper,33939,2000,Chopper,Chopper
"Comedy, War",None,8.2,99 min,To Be or Not to Be,22287,1942,To Be or Not to Be,To Be or Not to Be
"Animation, Drama, Family",None,8.0,111 min,Mimi wo sumaseba,38185,1995,Mimi wo sumaseba,Mimi wo sumaseba
"Comedy, Drama",$12.41M,7.1,114 min,People Like Us,38695,2012,People Like Us,People Like Us
"Animation, Adventure, Drama",$11.27M,7.1,78 min,Balto,35023,1995,Balto,Balto
"Comedy, Western",None,7.5,116 min,My Name Is Nobody,20190,1973,My Name Is Nobody,My Name Is Nobody
"Crime, Thriller",None,7.5,112 min,Get Carter,25091,1971,Get Carter,Get Carter
"Drama, Romance",$2.38M,8.1,103 min,"Spring, Summer, Fall, Winter... and Spring",69546,2003,"Spring, Summer, Fall, Winter... and Spring",Spring Summer Fall Winter and Spring
"Biography, Drama, Sport",$6.00M,7.2,116 min,Chasing Mavericks,28341,2012,Chasing Mavericks,Chasing Mavericks
"Drama, War",None,7.5,119 min,Cross of Iron,22811,1977,Cross of Iron,Cross of Iron
"Adventure, Crime, Drama",$5.02M,7.4,121 min,The Three Burials of Melquiades Estrada,36356,2005,The Three Burials of Melquiades Estrada,The Three Burials of Melquiades Estrada
"Adventure, Comedy, Drama",$1.12M,7.0,114 min,Hector and the Search for Happiness,40212,2014,Hector and the Search for Happiness,Hector and the Search for Happiness
"Horror, Mystery",None,7.3,96 min,Ringu,56661,1998,Ringu,Ringu
"Crime, Drama, Mystery",$0.55M,7.8,129 min,Mother,35024,2009,Mother,Mother
"Adventure, Drama, Thriller",None,8.1,131 min,The Wages of Fear,46102,1953,The Wages of Fear,The Wages of Fear
Drama,None,7.3,89 min,Speak,22905,2004,Speak,Speak
"Comedy, Drama",$2.02M,7.8,129 min,Night on Earth,47874,1991,Night on Earth,Night on Earth
"Biography, Comedy, Drama",$1.13M,7.4,117 min,24 Hour Party People,29594,2002,24 Hour Party People,24 Hour Party People
"Biography, Drama, Music",$0.87M,7.7,122 min,Control,56373,2007,Control,Control
Drama,$9.18M,7.6,111 min,You Can Count on Me,25451,2000,You Can Count on Me,You Can Count on Me
"Comedy, Drama, Fantasy",$0.11M,7.4,142 min,Arizona Dream,37650,1993,Arizona Dream,Arizona Dream
"Action, Western",$0.03M,7.3,91 min,Django,21296,1966,Django,Django
"Comedy, Drama, Fantasy",$0.32M,7.3,88 min,Wristcutters: A Love Story,50299,2006,Wristcutters: A Love Story,Wristcutters A Love Story
"Biography, Drama, Romance",$4.44M,7.1,116 min,The Railway Man,33472,2013,The Railway Man,The Railway Man
"Action, Biography, Drama",$24.63M,7.7,104 min,Fearless,67778,2006,Fearless,Fearless
"Comedy, Drama, Family",$2.65M,7.9,96 min,Miracle on 34th Street,34852,1947,Miracle on 34th Street,Miracle on 34th Street
"Crime, Drama, Thriller",$24.36M,7.2,117 min,Arlington Road,75202,1999,Arlington Road,Arlington Road
"Animation, Fantasy",$0.92M,7.5,80 min,La tortue rouge,22359,2016,La tortue rouge,La tortue rouge
"Drama, Fantasy, Music",$2.00M,7.8,98 min,The Double Life of Véronique,34571,1991,The Double Life of Véronique,The Double Life of Veronique
"Biography, Drama",$6.39M,7.5,105 min,Gods and Monsters,26821,1998,Gods and Monsters,Gods and Monsters
Drama,$9.42M,7.7,104 min,The Visitor,39680,2007,The Visitor,The Visitor
"Adventure, Comedy, Family",$76.66M,7.6,95 min,The Muppet Movie,28461,1979,The Muppet Movie,The Muppet Movie
"Comedy, Drama, Romance",$3.49M,7.0,118 min,Happy-Go-Lucky,35222,2008,Happy-Go-Lucky,HappyGoLucky
"Adventure, Comedy",$1.08M,7.1,114 min,The 100 Year-Old Man Who Climbed Out the Window and Disappeared,33880,2013,The 100 Year-Old Man Who Climbed Out the Window and Disappeared,The 100 YearOld Man Who Climbed Out the Window and Disappeared
"Action, Crime, Drama",$3.31M,7.5,116 min,Ghost Dog: The Way of the Samurai,77677,1999,Ghost Dog: The Way of the Samurai,Ghost Dog The Way of the Samurai
"Comedy, Drama",None,7.9,123 min,Amarcord,34197,1973,Amarcord,Amarcord
"Crime, Drama",$0.60M,7.3,90 min,Mean Creek,28710,2004,Mean Creek,Mean Creek
"Comedy, Crime, Drama",$0.96M,7.7,112 min,The Long Goodbye,21478,1973,The Long Goodbye,The Long Goodbye
"Comedy, Drama",$7.18M,7.6,88 min,Women on the Verge of a Nervous Breakdown,29759,1988,Women on the Verge of a Nervous Breakdown,Women on the Verge of a Nervous Breakdown
Drama,$0.08M,7.4,139 min,Manderlay,20446,2005,Manderlay,Manderlay
"Action, Crime, Drama",$23.53M,7.0,114 min,Traitor,52356,2008,Traitor,Traitor
"Adventure, Romance, War",None,7.0,116 min,Two Mules for Sister Sara,20241,1970,Two Mules for Sister Sara,Two Mules for Sister Sara
"Animation, Adventure, Comedy",None,7.3,90 min,The Brave Little Toaster,21717,1987,The Brave Little Toaster,The Brave Little Toaster
"Biography, Drama, Sport",$36.45M,7.0,124 min,Million Dollar Arm,40060,2014,Million Dollar Arm,Million Dollar Arm
"Animation, Adventure, Comedy",$0.99M,7.4,85 min,Yellow Submarine,21788,1968,Yellow Submarine,Yellow Submarine
"Animation, Drama, Family",$0.77M,7.7,103 min,Omoide no Mânî,22589,2014,Omoide no Mânî,Omoide no Mani
"Comedy, Musical, Romance",None,7.1,103 min,Funny Face,22665,1957,Funny Face,Funny Face
"Comedy, Drama",$4.68M,7.0,98 min,Igby Goes Down,30521,2002,Igby Goes Down,Igby Goes Down
"Action, Drama, Romance",None,7.4,107 min,The Chinese Connection,21572,1972,The Chinese Connection,The Chinese Connection
"Drama, Film-Noir, Mystery",None,8.1,88 min,Laura,36991,1944,Laura,Laura
"Crime, Thriller",$2.88M,7.3,89 min,Shallow Grave,51245,1994,Shallow Grave,Shallow Grave
"Biography, Drama",$2.72M,7.4,110 min,The Good Lie,24288,2014,The Good Lie,The Good Lie
Comedy,None,7.0,97 min,Qu'est-ce qu'on a fait au Bon Dieu?,31826,2014,Qu'est-ce qu'on a fait au Bon Dieu?,Questce quon a fait au Bon Dieu
"Drama, Romance",None,7.2,103 min,Now Is Good,30576,2012,Now Is Good,Now Is Good
"Action, Comedy, Crime",None,7.6,101 min,Police Story,23077,1985,Police Story,Police Story
"Animation, Adventure, Comedy",None,7.8,94 min,Porco Rosso,58398,1992,Porco Rosso,Porco Rosso
"Action, Crime, Drama",$0.90M,8.2,160 min,Haider,44166,2014,Haider,Haider
"Animation, Action, Adventure",$5.62M,7.9,76 min,Batman: Mask of the Phantasm,36438,1993,Batman: Mask of the Phantasm,Batman Mask of the Phantasm
"Comedy, Fantasy",$0.09M,7.1,114 min,Le tout nouveau testament,24164,2015,Le tout nouveau testament,Le tout nouveau testament
"Comedy, Drama, Music",$1.97M,7.1,95 min,Coffee and Cigarettes,53380,2003,Coffee and Cigarettes,Coffee and Cigarettes
"Comedy, Drama, Romance",$1.46M,7.7,92 min,Three Colors: White,52968,1994,Three Colors: White,Three Colors White
"Action, Biography, Drama",$35.11M,7.0,120 min,Dragon: The Bruce Lee Story,24558,1993,Dragon: The Bruce Lee Story,Dragon The Bruce Lee Story
"Drama, Mystery, Romance",$12.99M,7.1,101 min,The Quiet American,25572,2002,The Quiet American,The Quiet American
"Comedy, Drama, Romance",$3.95M,7.0,97 min,Charlie Bartlett,59871,2007,Charlie Bartlett,Charlie Bartlett
"Comedy, Mystery",None,7.1,99 min,The Trouble with Harry,29054,1955,The Trouble with Harry,The Trouble with Harry
"Adventure, Drama, History",$5.73M,7.5,110 min,Gallipoli,33094,1981,Gallipoli,Gallipoli
"Comedy, Music, Musical",$13.78M,7.7,87 min,A Hard Day's Night,35620,1964,A Hard Day's Night,A Hard Days Night
"Crime, Drama",$5.21M,7.5,106 min,Bad Education,50067,2004,Bad Education,Bad Education
"Crime, Drama, Thriller",None,7.4,119 min,...and justice for all.,26649,1979,...and justice for all.,and justice for all
"Comedy, Drama, Romance",$2.28M,7.2,99 min,Adam,31803,2009,Adam,Adam
"Drama, History, Musical",$24.48M,7.3,108 min,Jesus Christ Superstar,22374,1973,Jesus Christ Superstar,Jesus Christ Superstar
"Drama, Mystery, Thriller",$0.11M,8.1,119 min,Darbareye Elly,35520,2009,Darbareye Elly,Darbareye Elly
"Action, Adventure, Romance",None,7.8,133 min,Red River,24440,1948,Red River,Red River
Drama,$2.34M,7.4,118 min,No,20918,2012,No,No
"Comedy, Drama",$18.25M,8.0,104 min,Crimes and Misdemeanors,48678,1989,Crimes and Misdemeanors,Crimes and Misdemeanors
"Biography, Drama, Thriller",$11.09M,7.2,133 min,Michael Collins,26854,1996,Michael Collins,Michael Collins
"Crime, Drama, Horror",None,7.2,86 min,11:14,41107,2003,11:14,1114
Drama,None,8.1,91 min,Cries &amp; Whispers,24393,1972,Cries and Whispers,Cries and Whispers
"Drama, Romance",None,7.5,96 min,I Killed My Mother,23504,2009,I Killed My Mother,I Killed My Mother
"Drama, Romance, Sport",$3.96M,7.3,120 min,Peaceful Warrior,23905,2006,Peaceful Warrior,Peaceful Warrior
"Crime, Drama, Mystery",$0.34M,8.3,132 min,Talvar,23216,2015,Talvar,Talvar
Drama,$4.89M,7.8,114 min,The Magdalene Sisters,24200,2002,The Magdalene Sisters,The Magdalene Sisters
"Action, Crime, Thriller",None,7.9,128 min,Hard Boiled,42415,1992,Hard Boiled,Hard Boiled
"Animation, Biography, Drama",$4.44M,8.1,96 min,Persepolis,79520,2007,Persepolis,Persepolis
"Action, Adventure, Comedy",None,8.2,67 min,The General,68096,1926,The General,The General
Drama,$1.44M,7.4,95 min,"Two Days, One Night",39911,2014,"Two Days, One Night",Two Days One Night
"Drama, Music",$3.64M,7.9,97 min,The Chorus,50576,2004,The Chorus,The Chorus
"Biography, Crime, Drama",$33.23M,7.0,110 min,Breach,54958,2007,Breach,Breach
"Comedy, Drama",$0.38M,7.0,106 min,Hesher,47592,2010,Hesher,Hesher
"Comedy, Drama, Fantasy",None,7.2,92 min,If Only,29394,2004,If Only,If Only
"Drama, Thriller",$0.14M,7.7,120 min,The Experiment,85576,2001,The Experiment,The Experiment
"Drama, War",$0.06M,8.1,121 min,The Battle of Algiers,45859,1966,The Battle of Algiers,The Battle of Algiers
"Animation, Adventure, Comedy",None,7.3,75 min,Neko no ongaeshi,37433,2002,Neko no ongaeshi,Neko no ongaeshi
"Comedy, Musical, Romance",$12.00M,7.2,91 min,Gentlemen Prefer Blondes,26906,1953,Gentlemen Prefer Blondes,Gentlemen Prefer Blondes
Drama,$13.42M,8.0,136 min,Secrets &amp; Lies,32582,1996,Secrets and Lies,Secrets and Lies
"Biography, Crime, Drama",None,8.0,134 min,In Cold Blood,21464,1967,In Cold Blood,In Cold Blood
"Biography, Drama, History",None,8.2,128 min,Inherit the Wind,23593,1960,Inherit the Wind,Inherit the Wind
"Mystery, Thriller",None,7.9,96 min,The Lady Vanishes,40996,1938,The Lady Vanishes,The Lady Vanishes
"Action, Adventure, Comedy",$1.78M,7.0,96 min,Son of Rambow,29075,2007,Son of Rambow,Son of Rambow
"Animation, Adventure, Family",$0.69M,7.7,75 min,The Secret of Kells,27208,2009,The Secret of Kells,The Secret of Kells
"Comedy, Romance",$12.29M,7.1,92 min,Miss Pettigrew Lives for a Day,24468,2008,Miss Pettigrew Lives for a Day,Miss Pettigrew Lives for a Day
Drama,$1.41M,7.1,112 min,99 Homes,25383,2014,99 Homes,99 Homes
"Comedy, Drama, War",None,8.0,120 min,Stalag 17,46937,1953,Stalag 17,Stalag 17
"Drama, History, War",$6.42M,7.4,106 min,Little Boy,20435,2015,Little Boy,Little Boy
"Comedy, Drama, Music",$9.98M,7.8,160 min,Nashville,20295,1975,Nashville,Nashville
"Action, Crime, Drama",None,7.1,99 min,The Big Boss,21203,1971,The Big Boss,The Big Boss
"Comedy, Drama, Music",$0.30M,7.5,97 min,SLC Punk!,23996,1998,SLC Punk!,SLC Punk
"Comedy, Drama, Music",None,7.3,106 min,La famille Bélier,20768,2014,La famille Bélier,La famille Belier
"Crime, Drama, Thriller",$8.11M,7.4,97 min,Dirty Pretty Things,37858,2002,Dirty Pretty Things,Dirty Pretty Things
"Drama, Romance",$0.06M,7.2,101 min,Heartbeats,23289,2010,Heartbeats,Heartbeats
"Comedy, Romance",$12.00M,7.2,105 min,The Seven Year Itch,29709,1955,The Seven Year Itch,The Seven Year Itch
"Mystery, Thriller",$1.04M,8.2,122 min,Kahaani,49384,2012,Kahaani,Kahaani
"Comedy, Drama, Music",$3.03M,7.8,95 min,Hedwig and the Angry Inch,28770,2001,Hedwig and the Angry Inch,Hedwig and the Angry Inch
"Adventure, Biography, Drama",$6.17M,7.5,94 min,Rabbit-Proof Fence,25405,2002,Rabbit-Proof Fence,RabbitProof Fence
"Fantasy, Romance",None,7.1,106 min,In Your Eyes,27949,2014,In Your Eyes,In Your Eyes
"Comedy, Crime, Romance",$0.35M,8.1,127 min,"Crna macka, beli macor",45713,1998,"Crna macka, beli macor",Crna macka beli macor
"Animation, Drama, Family",$1.00M,7.5,91 min,From Up on Poppy Hill,24802,2011,From Up on Poppy Hill,From Up on Poppy Hill
"Comedy, Drama, Romance",None,8.1,123 min,My Sassy Girl,41190,2001,My Sassy Girl,My Sassy Girl
"Biography, Drama",$24.72M,7.0,129 min,Gorillas in the Mist,21448,1988,Gorillas in the Mist,Gorillas in the Mist
"Action, Drama, History",$6.56M,7.2,158 min,Bajirao Mastani,26656,2015,Bajirao Mastani,Bajirao Mastani
"Action, Drama, Sport",$6.20M,7.1,170 min,Sultan,31632,2016,Sultan,Sultan
Drama,$3.25M,7.6,112 min,The Sweet Hereafter,29367,1997,The Sweet Hereafter,The Sweet Hereafter
"Biography, Drama, History",$13.56M,7.1,192 min,Nixon,26351,1995,Nixon,Nixon
"Comedy, Crime, Drama",$0.12M,7.2,105 min,God Bless America,64920,2011,God Bless America,God Bless America
Horror,None,7.9,100 min,The Innocents,22602,1961,The Innocents,The Innocents
Drama,$15.54M,7.8,105 min,In America,38536,2002,In America,In America
"Drama, Music, Romance",$10.90M,8.3,134 min,The Red Shoes,23540,1948,The Red Shoes,The Red Shoes
"Action, Thriller",None,8.2,172 min,Mersal,20288,2017,Mersal,Mersal
"Drama, Music, Romance",$5.22M,8.1,171 min,Farewell My Concubine,20990,1993,Farewell My Concubine,Farewell My Concubine
"Drama, Music, Mystery",$9.47M,7.7,130 min,The Red Violin,29182,1998,The Red Violin,The Red Violin
"Biography, Drama",$6.78M,7.2,107 min,Conviction,38835,2010,Conviction,Conviction
Drama,None,8.1,108 min,La Strada,51637,1954,La Strada,La Strada
"Animation, Adventure, Comedy",$46.46M,7.1,97 min,Arthur Christmas,42690,2011,Arthur Christmas,Arthur Christmas
"Comedy, Drama",$2.44M,7.6,89 min,Stranger Than Paradise,29627,1984,Stranger Than Paradise,Stranger Than Paradise
"Crime, Drama, Mystery",$0.00M,7.2,108 min,Nothing But the Truth,33475,2008,Nothing But the Truth,Nothing But the Truth
"Drama, Music",$1.54M,8.1,130 min,Departures,43415,2008,Departures,Departures
"Crime, Drama, History",$0.08M,8.2,127 min,Z,20525,1969,Z,Z
"Action, Thriller",None,8.1,159 min,Baby,46069,2015,Baby,Baby
"Biography, Drama, History",$21.21M,7.5,118 min,Amazing Grace,22508,2006,Amazing Grace,Amazing Grace
"Action, Crime, Drama",None,7.8,148 min,Udta Punjab,21332,2016,Udta Punjab,Udta Punjab
"Crime, Drama, Romance",None,7.7,110 min,Pierrot le Fou,23933,1965,Pierrot le Fou,Pierrot le Fou
"Comedy, Crime, Drama",$1.44M,7.8,107 min,Down by Law,41843,1986,Down by Law,Down by Law
"Animation, Adventure, Comedy",$19.38M,7.4,85 min,Shaun the Sheep Movie,31124,2015,Shaun the Sheep Movie,Shaun the Sheep Movie
"Drama, Thriller",$17.38M,7.3,122 min,Murder in the First,24095,1995,Murder in the First,Murder in the First
"Action, Drama, Fantasy",$20.19M,8.4,167 min,Baahubali 2: The Conclusion,60140,2017,Baahubali 2: The Conclusion,Baahubali 2 The Conclusion
"Crime, Drama, Romance",None,7.7,99 min,Fallen Angels,20051,1995,Fallen Angels,Fallen Angels
"Biography, Drama, History",$8.32M,7.1,141 min,Mandela: Long Walk to Freedom,24326,2013,Mandela: Long Walk to Freedom,Mandela Long Walk to Freedom
"Animation, Comedy, Family",$60.66M,7.2,75 min,Fantasia 2000,31184,1999,Fantasia 2000,Fantasia 2000
"Comedy, Drama, Fantasy",None,8.0,104 min,Harvey,48713,1950,Harvey,Harvey
"Drama, Romance",None,8.1,86 min,Brief Encounter,30451,1945,Brief Encounter,Brief Encounter
"Drama, Romance, Thriller",$5.01M,7.2,127 min,Broken Embraces,34797,2009,Broken Embraces,Broken Embraces
"Comedy, Mystery",$12.37M,7.5,102 min,A Shot in the Dark,22481,1964,A Shot in the Dark,A Shot in the Dark
"Drama, Romance",None,8.0,121 min,Head-On,45828,2004,Head-On,HeadOn
"Drama, Fantasy",$1.96M,7.8,119 min,Dreams,20809,1990,Dreams,Dreams
"Crime, Drama, Mystery",$0.76M,7.2,103 min,The Salton Sea,28160,2002,The Salton Sea,The Salton Sea
"Crime, Drama, Mystery",$10.46M,7.2,105 min,Narc,36227,2002,Narc,Narc
"Biography, Drama, Romance",$4.22M,7.3,133 min,Before Night Falls,22347,2000,Before Night Falls,Before Night Falls
"Biography, Drama, Music",$9.91M,7.5,121 min,Immortal Beloved,21118,1994,Immortal Beloved,Immortal Beloved
"Comedy, Drama, Fantasy",$4.66M,7.3,105 min,The Science of Sleep,64983,2006,The Science of Sleep,The Science of Sleep
"Action, Comedy, Drama",$8.18M,8.0,163 min,Bajrangi Bhaijaan,59773,2015,Bajrangi Bhaijaan,Bajrangi Bhaijaan
"Biography, Drama",$7.27M,7.5,109 min,Searching for Bobby Fischer,26418,1993,Searching for Bobby Fischer,Searching for Bobby Fischer
"Comedy, Drama",$6.61M,7.2,113 min,The Savages,33844,2007,The Savages,The Savages
"Action, Adventure, Western",$0.13M,7.3,130 min,Joheunnom nabbeunnom isanghannom,29791,2008,Joheunnom nabbeunnom isanghannom,Joheunnom nabbeunnom isanghannom
"Comedy, Drama, Sport",$10.18M,7.2,106 min,Win Win,51102,2011,Win Win,Win Win
