genre,gross,rate,runtime,title,vote,yr,titleClean,cleanTitleSpot
"Comedy, Drama",$48.96M,7.5,94 min,Lady Bird,148097,2017,Lady Bird,Lady Bird
"Crime, Thriller",$183.42M,7.8,116 min,Ocean's Eleven,459808,2001,Ocean's Eleven,Oceans Eleven
"Action, Adventure, Sci-Fi",$158.85M,7.1,122 min,Star Trek: Beyond,200197,2016,Star Trek: Beyond,Star Trek Beyond
"Action, Adventure, Comedy",$180.20M,7.3,117 min,Ant-Man,451195,2015,Ant-Man,AntMan
"Biography, Drama, History",$67.21M,8.1,139 min,Hacksaw Ridge,335771,2016,Hacksaw Ridge,Hacksaw Ridge
"Musical, Romance",$188.76M,7.2,110 min,Grease,198840,1978,Grease,Grease
"Action, Crime, Thriller",$92.03M,7.5,122 min,John Wick: Chapter 2,244261,2017,John Wick: Chapter 2,John Wick 
"Crime, Drama, Romance",$10.64M,7.5,116 min,Nocturnal Animals,186831,2016,Nocturnal Animals,Nocturnal Animals
"Animation, Adventure, Comedy",$356.46M,8.2,95 min,Inside Out,500104,2015,Inside Out,Inside Out
"Comedy, Crime",$17.50M,8.1,117 min,The Big Lebowski,633769,1998,The Big Lebowski,The Big Lebowski
"Action, Adventure, Sci-Fi",$157.30M,7.4,104 min,X-Men,516933,2000,X-Men,XMen
"Crime, Drama",$28.26M,8.3,114 min,Taxi Driver,608162,1976,Taxi Driver,Taxi Driver
"Drama, War",$46.36M,8.3,116 min,Full Metal Jacket,581775,1987,Full Metal Jacket,Full Metal Jacket
"Drama, Mystery, Sci-Fi",$53.09M,8.5,130 min,The Prestige,1017023,2006,The Prestige,The Prestige
Drama,$3.64M,8.3,102 min,Requiem for a Dream,673738,2000,Requiem for a Dream,Requiem for a Dream
Comedy,$86.06M,7.0,97 min,Mean Girls,288428,2004,Mean Girls,Mean Girls
"Action, Adventure, Drama",$183.64M,8.0,156 min,The Revenant,577531,2015,The Revenant,The Revenant
"Drama, War",$83.47M,8.5,147 min,Apocalypse Now,525424,1979,Apocalypse Now,Apocalypse Now
"Comedy, Drama, Romance",$59.70M,7.6,135 min,Love Actually,365685,2003,Love Actually,Love Actually
Comedy,$277.32M,7.7,100 min,The Hangover,648679,2009,The Hangover,The Hangover
"Adventure, Family, Fantasy",$38.63M,7.7,127 min,Stardust,233194,2007,Stardust,Stardust
"Drama, Romance",$81.00M,7.9,123 min,The Notebook,454839,2004,The Notebook,The Notebook
"Action, Adventure, Sci-Fi",$100.21M,7.9,113 min,Edge of Tomorrow,523114,2014,Edge of Tomorrow,Edge of Tomorrow
"Drama, Romance, Sci-Fi",$34.40M,8.3,108 min,Eternal Sunshine of the Spotless Mind,789868,2004,Eternal Sunshine of the Spotless Mind,Eternal Sunshine of the Spotless Mind
"Drama, Mystery, Thriller",$2.29M,7.0,121 min,The Killing of a Sacred Deer,72959,2017,The Killing of a Sacred Deer,The Killing of a Sacred Deer
"Action, Adventure, Sci-Fi",$409.01M,7.2,130 min,Iron Man 3,651040,2013,Iron Man 3,Iron Man 3
"Action, Adventure, Western",None,8.0,135 min,The Wild Bunch,69796,1969,The Wild Bunch,The Wild Bunch
"Crime, Drama, Sci-Fi",None,8.3,136 min,A Clockwork Orange,659664,1971,A Clockwork Orange,A Clockwork Orange
"Drama, Romance",$21.02M,7.6,130 min,Phantom Thread,70732,2017,Phantom Thread,Phantom Thread
"Crime, Drama, Mystery",$61.00M,8.1,153 min,Prisoners,498815,2013,Prisoners,Prisoners
"Drama, Sport",$117.24M,8.1,120 min,Rocky,451624,1976,Rocky,Rocky
"Drama, History, Romance",$133.38M,7.2,163 min,Troy,435435,2004,Troy,Troy
"Action, Adventure, Sci-Fi",$318.41M,7.9,126 min,Iron Man,812390,2008,Iron Man,Iron Man
"Drama, Romance, Sci-Fi",$100.01M,7.0,116 min,Passengers,284141,2016,Passengers,Passengers
"Drama, War",$216.54M,8.6,169 min,Saving Private Ryan,1054387,1998,Saving Private Ryan,Saving Private Ryan
"Action, Sci-Fi",$204.84M,8.5,137 min,Terminator 2,868274,1991,Terminator 2,Terminator 2
"Action, Adventure, Sci-Fi",$306.17M,7.0,145 min,Independence Day,481043,1996,Independence Day,Independence Day
"Action, Adventure, Fantasy",$181.03M,7.0,115 min,Thor,638578,2011,Thor,Thor
"Drama, Thriller",$106.95M,8.0,108 min,Black Swan,625266,2010,Black Swan,Black Swan
"Crime, Drama",$25.60M,7.2,91 min,The Outsiders,65572,1983,The Outsiders,The Outsiders
"Comedy, Crime, Drama",$43.02M,7.1,114 min,War Dogs,142612,2016,War Dogs,War Dogs
"Adventure, Family, Fantasy",$292.00M,7.5,138 min,Harry Potter and the Order of the Phoenix,427164,2007,Harry Potter and the Order of the Phoenix,Harry Potter and the Order of the Phoenix
"Drama, Mystery, Thriller",$55.69M,7.4,159 min,Eyes Wide Shut,262526,1999,Eyes Wide Shut,Eyes Wide Shut
"Drama, Mystery, Thriller",$7.22M,8.0,147 min,Mulholland Dr.,280155,2001,Mulholland Dr.,Mulholland Dr
"Crime, Mystery, Thriller",$23.34M,8.6,106 min,The Usual Suspects,868983,1995,The Usual Suspects,The Usual Suspects
"Crime, Drama, Mystery",$102.52M,7.8,158 min,The Girl with the Dragon Tattoo,374244,2011,The Girl with the Dragon Tattoo,The Girl with the Dragon Tattoo
"Drama, History, Musical",$148.81M,7.6,158 min,Les Misérables,276280,2012,Les Misérables,Les Miserables
"Action, Sci-Fi",$38.40M,8.0,107 min,The Terminator,700434,1984,The Terminator,The Terminator
"Drama, Music",$116.72M,7.1,110 min,8 Mile,218848,2002,8 Mile,8 Mile
"Mystery, Thriller",$128.01M,8.1,138 min,Shutter Island,956400,2010,Shutter Island,Shutter Island
"Action, Fantasy",$210.61M,7.7,117 min,300,672881,2006,300,300
"Action, Adventure, Crime",$209.03M,7.6,128 min,Sherlock Holmes,533134,2009,Sherlock Holmes,Sherlock Holmes
"Crime, Drama, Fantasy",$136.80M,8.5,189 min,The Green Mile,956347,1999,The Green Mile,The Green Mile
"Biography, Drama",$170.74M,8.2,135 min,A Beautiful Mind,737126,2001,A Beautiful Mind,A Beautiful Mind
